Representative	AS	DW	GW	Group	MW	NW	WW
SRR18749956_k141_399654_3_108736325	21	51	38	0	8	155	209
ERR4225396_k141_153943_1_61701137	124	50	25	0	0	153	192
SRR9852220_k141_1137322_5_356411632	143	66	24	0	8	121	89
ERR2592336_k141_1517_1_22487567	282	86	91	0	2	153	446
SRR12354360_k141_276881_4_235244633	324	127	51	0	3	417	405
SRR21427519_k141_97453_18_147451201	361	82	37	0	11	199	338
ERR5954384_k141_677266_9_183054157	344	189	109	0	1	376	360
SRR12113393_k141_76339_3_55820605	446	105	48	0	1	285	257
SRR14492169_k141_836255_4_370860338	19	48	60	0	16	146	181
ERR11269310_k141_1327625_2_210256606	30	81	82	0	33	167	279
ERR3761226_k141_2317367_4_99719550	285	51	23	0	15	177	109
SRR10132616_k141_460366_1_376491090	19	88	70	0	13	206	105
SRR21802947_k141_537222_2_590853236	37	135	60	0	2	473	80
SRR15669519_k141_124914_2_138074209	183	77	42	0	8	101	252
SRR9261028_k141_113818_1_238341594	338	79	58	0	0	191	499
SRR11088392_k141_1836465_2_9885005	16	45	62	0	3	112	114
ERR3761227_k141_707959_1_106164273	232	144	32	0	0	405	245
ERR4678630_k141_485362_1_107224689	50	55	23	0	4	95	76
SRR15085121_k141_97010_3_53956033	211	172	63	0	0	86	84
SRR13107666_k141_608876_2_313437113	46	75	82	0	13	176	293
SRR14932490_k141_495664_1_465946285	422	70	36	0	0	79	76
SRR8797414_k141_24979_3_62890904	243	157	107	0	10	445	405
SRR18331978_k141_31687_136_178759411	252	49	32	0	0	199	142
ERR5954449_k141_526345_1_223184817	365	60	24	0	0	81	78
SRR7912025_k141_192660_91_58895615	39	71	101	0	2	140	77
SRR10598223_k119_38869_9_66356261	75	61	23	0	0	220	68
ERR599061_k119_97649_7_20407037	414	120	23	0	233	483	126
SRR22105547_k141_377702_3_158711247	153	83	47	0	2	313	318
SRR22372548_k141_75147_8_218224673	122	75	78	0	2	145	458
ERR11269307_k141_1019617_1_206231913	128	44	24	0	2	130	166
SRR14932528_k141_198057_3_519251453	204	86	54	0	1	209	281
SRR7369915_k141_109923_2_12496819	49	127	29	0	0	255	226
SRR10598223_k119_96721_2_66347797	17	51	64	0	1	120	134
ERR1076082_k141_54718_5_1860397	320	186	52	0	1	134	67
ERR4678649_k141_732333_1_124275924	23	100	74	0	9	211	142
SRR10132630_k141_128124_2_288499161	71	107	24	0	6	375	180
SRR22372526_k141_160722_9_203108704	456	215	41	0	9	120	254
SRR18331976_k141_30855_3_145968216	233	136	54	0	2	359	237
SRR14751588_k141_779343_1_452542218	133	86	26	0	2	287	108
ERR5954486_k141_517281_1_246041163	119	177	82	0	5	475	191
SRR14932569_k141_146398_1_593536514	244	211	45	0	4	89	193
ERR4678682_k141_722008_1_174901051	111	49	57	0	0	83	388
SRR13727522_k141_56098_2_119840809	255	53	39	0	172	289	296
SRR15085116_k141_563907_29_50792316	11	45	51	0	1	86	69
ERR4222572_k141_1008345_1_56885952	27	86	74	0	15	208	129
ERR1725944_k141_261010_2_173963900	133	82	74	0	1	157	458
ERR1725945_k141_112370_2_174574375	97	44	24	0	5	297	248
SRR18331990_k141_29737_1_174238910	59	102	94	0	22	209	330
ERR5954381_k141_1112893_4_179025355	9	52	42	0	10	123	83
SRR10132659_k141_641259_2_291315785	77	53	60	0	1	95	200
SRR6337690_k141_403095_2_505578372	20	119	29	0	13	79	76
SRR9852183_k141_1665791_1_289346007	319	94	36	0	0	163	73
SRR13225448_k141_550687_1_337048100	20	93	59	0	5	168	88
SRR4343426_k119_292177_27_162139645	87	92	35	0	9	115	67
SRR8208343_k141_1639647_1_6559206	359	112	54	0	3	374	410
SRR6986821_k141_142430_1_32888927	107	118	71	0	12	241	230
SRR18749959_k141_324769_5_91750012	10	62	43	0	6	121	125
SRR14560426_k141_44020_1_421915269	222	64	33	0	5	211	123
ERR4678658_k141_450294_1_133764106	49	50	30	0	0	152	252
SRR13727538_k141_12557_4_134651138	327	46	43	0	1	131	226
SRR22105533_k141_527977_1_140118439	364	136	69	0	8	309	104
SRR21203048_k141_3209_2_179095684	164	75	39	0	0	183	226
SRR14560427_k141_31348_2_423348761	63	52	26	0	0	211	214
ERR5954387_k141_197709_1_261589925	11	75	54	0	9	136	81
SRR14932530_k141_886947_2_523308559	450	84	39	0	0	95	93
SRR26726066_k141_190616_2_160417713	161	77	36	0	8	158	157
SRR12341065_k141_426004_2_234252672	201	104	45	0	2	339	306
ERR3281037_k141_69905_4_11097282	131	68	25	0	1	294	185
ERR11181246_k141_180730_1_4571624	72	49	41	0	2	114	421
SRR14751619_k141_1502332_1_513371950	37	102	39	0	2	332	67
SRR21427516_k141_121815_1_48200743	147	85	85	0	3	251	313
SRR11088429_k141_788941_1_53870850	151	55	39	0	0	104	430
SRR6337696_k141_305185_2_508524860	343	148	97	0	1	334	471
SRR14932498_k141_1378648_2_477070484	321	77	27	0	1	132	292
SRR10132671_k141_95259_3_300226320	110	47	47	0	1	148	447
